Coll_Dt,Matrix_Type,Point,Value
2024-01-03,DBX Inner Tray                ,Point_A,6.54      
2024-01-03,DBX Inner Tray                ,Point_A,5.31      
2024-01-03,DBX Inner Tray                ,Point_A,6.93      
2024-01-03,DBX Inner Tray                ,Point_A,6.96      
2024-01-03,DBX Outer Tray                ,Point_A,6.33      
2024-01-03,DBX Outer Tray                ,Point_A,6.72      
2024-01-03,DBX Outer Tray                ,Point_A,6.22      
2024-01-03,DBX Outer Tray                ,Point_A,6.93      
2024-01-02,Dual Outer Tray               ,Point_A,6.75      
2024-01-02,Dual Outer Tray               ,Point_A,5.83      
2024-01-02,Dual Outer Tray               ,Point_A,6.48      
2024-01-02,Dual Outer Tray               ,Point_A,6.48      
2024-01-02,Dual Outer Tray               ,Point_A,5.21      
2024-01-02,Dual Outer Tray               ,Point_A,6.52      
2024-01-02,Foil/Foil Pouch               ,Point_A,          
2024-01-02,Foil/Foil Pouch               ,Point_A,          
2024-01-02,Foil/Foil Pouch               ,Point_A,          
2024-01-02,"5"" Outer Tray                 ",Point_A,2.55      
2024-01-02,"5"" Outer Tray                 ",Point_A,3.35      
2024-01-02,"5"" Outer Tray                 ",Point_A,2.43      
2024-01-02,Polyester Barrier Pouch       ,Point_A,          
2024-01-02,Polyester Barrier Pouch       ,Point_A,          
2024-01-02,Polyester Barrier Pouch       ,Point_A,          
2024-01-02,Polyester Barrier Pouch       ,Point_A,          
2024-01-02,Polyester Barrier Pouch       ,Point_A,          
2024-01-02,Polyester Barrier Pouch       ,Point_A,          
2024-01-02,Polyester Barrier Pouch       ,Point_A,          
2024-01-02,Polyester Barrier Pouch       ,Point_A,          
2024-01-02,Polyester Barrier Pouch       ,Point_A,          
2024-01-02,Dual Inner Tray               ,Point_A,1.48      
2024-01-02,Dual Inner Tray               ,Point_A,1.43      
2024-01-02,Dual Inner Tray               ,Point_A,1.36      
2024-01-02,Dual Inner Tray               ,Point_A,1.53      
2024-01-02,Dual Inner Tray               ,Point_A,1.52      
2024-01-02,Dual Inner Tray               ,Point_A,1.76      
2024-01-02,"5"" Inner Tray                 ",Point_A,1.76      
2024-01-02,"5"" Inner Tray                 ",Point_A,1.90      
2024-01-02,"5"" Inner Tray                 ",Point_A,1.80      
2024-01-02,Polyester Barrier Pouch       ,Point_A,          
2024-01-02,Polyester Barrier Pouch       ,Point_A,          
2024-01-02,Polyester Barrier Pouch       ,Point_A,          
2024-01-02,Inner Q-pack COP Tray         ,Point_A,6.70      
2024-01-02,Inner Q-pack COP Tray         ,Point_A,6.17      
2024-01-02,Inner Q-pack COP Tray         ,Point_A,6.02      
2024-01-02,Outer Q-pack Tray             ,Point_A,1.93      
2024-01-02,Outer Q-pack Tray             ,Point_A,2.11      
2024-01-02,Outer Q-pack Tray             ,Point_A,1.67      
2024-01-02,Lyo Jar Tray                  ,Point_A,6.57      
2024-01-02,Lyo Jar Tray                  ,Point_A,6.57      
2024-01-02,Lyo Jar Tray                  ,Point_A,5.74      
2024-01-02,Lyo Jar Tray                  ,Point_A,5.98      
2024-01-02,Lyo Jar Tray                  ,Point_A,6.57      
2024-01-02,Lyo Jar Tray                  ,Point_A,4.37      
2024-01-04,Tyvek Pouches                 ,Point_A,          
2024-01-04,Tyvek Pouches                 ,Point_A,          
2024-01-04,Tyvek Pouches                 ,Point_A,          
2024-01-04,Trinity Tray                  ,Point_A,1.78      
2024-01-04,Trinity Tray                  ,Point_A,1.63      
2024-01-04,Trinity Tray                  ,Point_A,1.35      
2024-01-04,Trinity Tray                  ,Point_A,1.58      
2024-01-04,Trinity Tray                  ,Point_A,1.52      
2024-01-04,Trinity Tray                  ,Point_A,2.02      
2024-01-04,Polyester Barrier Pouch       ,Point_A,          
2024-01-04,Polyester Barrier Pouch       ,Point_A,          
2024-01-04,Polyester Barrier Pouch       ,Point_A,          
2024-01-04,Trinity Tray                  ,Point_A,1.93      
2024-01-04,Trinity Tray                  ,Point_A,1.83      
2024-01-04,Trinity Tray                  ,Point_A,2.02      
2024-01-04,Trinity Tray                  ,Point_A,1.49      
2024-01-04,Trinity Tray                  ,Point_A,1.26      
2024-01-04,Trinity Tray                  ,Point_A,1.15      
2024-01-04,MOPS Inner Pouch              ,Point_A,          
2024-01-04,MOPS Inner Pouch              ,Point_A,          
2024-01-04,MOPS Inner Pouch              ,Point_A,          
2024-01-04,MOPS Outer Pouch              ,Point_A,          
2024-01-04,MOPS Outer Pouch              ,Point_A,          
2024-01-04,MOPS Outer Pouch              ,Point_A,          
2024-01-04,MOPS Inner Pouch              ,Point_A,          
2024-01-04,MOPS Inner Pouch              ,Point_A,          
2024-01-04,MOPS Inner Pouch              ,Point_A,          
2024-01-04,MOPS Outer Pouch              ,Point_A,          
2024-01-04,MOPS Outer Pouch              ,Point_A,          
2024-01-04,MOPS Outer Pouch              ,Point_A,          
2024-01-04,MOPS Inner Pouch              ,Point_A,          
2024-01-04,MOPS Inner Pouch              ,Point_A,          
2024-01-04,MOPS Inner Pouch              ,Point_A,          
2024-01-04,MOPS Outer Pouch              ,Point_A,          
2024-01-04,MOPS Outer Pouch              ,Point_A,          
2024-01-04,MOPS Outer Pouch              ,Point_A,          
2024-01-03,DBX Inner Tray                ,Point_A,7.10      
2024-01-03,DBX Inner Tray                ,Point_A,6.97      
2024-01-03,DBX Inner Tray                ,Point_A,6.61      
2024-01-03,DBX Inner Tray                ,Point_A,          
2024-01-03,DBX Inner Tray                ,Point_A,          
2024-01-03,DBX Outer Tray                ,Point_A,6.06      
2024-01-03,DBX Outer Tray                ,Point_A,6.72      
2024-01-03,DBX Outer Tray                ,Point_A,6.61      
2024-01-03,Foil/Foil Pouch               ,Point_A,          
2024-01-03,Foil/Foil Pouch               ,Point_A,          
2024-01-03,Foil/Foil Pouch               ,Point_A,          
2024-01-03,Foil/Foil Pouch               ,Point_A,          
2024-01-03,Foil/Foil Pouch               ,Point_A,          
2024-01-03,Foil/Foil Pouch               ,Point_A,          
2024-01-03,Foil/Foil Pouch               ,Point_A,          
2024-01-03,Foil/Foil Pouch               ,Point_A,          
2024-01-03,Foil/Foil Pouch               ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Lyo Jar Tray                  ,Point_A,6.96      
2024-01-03,Lyo Jar Tray                  ,Point_A,7.05      
2024-01-03,Lyo Jar Tray                  ,Point_A,2.51      
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-03,Tyvek Pouches                 ,Point_A,          
2024-01-08,DBX Inner Tray                ,Point_A,6.89      
2024-01-08,DBX Inner Tray                ,Point_A,6.68      
2024-01-08,DBX Inner Tray                ,Point_A,7.14      
2024-01-08,DBX Outer Tray                ,Point_A,5.93      
2024-01-08,DBX Outer Tray                ,Point_A,6.31      
2024-01-08,DBX Outer Tray                ,Point_A,6.04      
2024-01-08,Foil/Foil Pouch               ,Point_A,          
2024-01-08,Foil/Foil Pouch               ,Point_A,          
2024-01-08,Foil/Foil Pouch               ,Point_A,          
2024-01-08,Foil/Foil Pouch               ,Point_A,          
2024-01-08,Foil/Foil Pouch               ,Point_A,          
2024-01-08,Foil/Foil Pouch               ,Point_A,          
2024-01-08,Foil/Foil Pouch               ,Point_A,          
2024-01-08,Foil/Foil Pouch               ,Point_A,          
2024-01-08,Foil/Foil Pouch               ,Point_A,          
2024-01-08,Tyvek Pouches                 ,Point_A,          
2024-01-08,Tyvek Pouches                 ,Point_A,          
2024-01-08,Tyvek Pouches                 ,Point_A,          
2024-01-08,Lyo Jar Tray                  ,Point_A,5.93      
2024-01-08,Lyo Jar Tray                  ,Point_A,6.21      
2024-01-08,Lyo Jar Tray                  ,Point_A,6.96      
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-08,Tyvek Pouches                 ,Point_A,          
2024-01-08,Tyvek Pouches                 ,Point_A,          
2024-01-08,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-07,Tyvek Pouches                 ,Point_A,          
2024-01-08,Tyvek Pouches                 ,Point_A,          
2024-01-08,Tyvek Pouches                 ,Point_A,          
2024-01-08,Tyvek Pouches                 ,Point_A,          
2024-01-08,Tyvek Pouches                 ,Point_A,          
2024-01-08,Tyvek Pouches                 ,Point_A,          
2024-01-08,Tyvek Pouches                 ,Point_A,          
2024-01-09,Trinity Tray                  ,Point_A,1.70      
2024-01-09,Trinity Tray                  ,Point_A,1.94      
2024-01-09,Trinity Tray                  ,Point_A,1.72      
2024-01-09,Trinity Tray                  ,Point_A,          
2024-01-09,Trinity Tray                  ,Point_A,          
2024-01-08,Trinity Tray                  ,Point_A,2.04      
2024-01-08,Trinity Tray                  ,Point_A,1.86      
2024-01-08,Trinity Tray                  ,Point_A,2.08      
2024-01-08,Polyester Barrier Pouch       ,Point_A,          
2024-01-08,Polyester Barrier Pouch       ,Point_A,          
2024-01-08,Polyester Barrier Pouch       ,Point_A,          
2024-01-08,Trinity Tray                  ,Point_A,2.02      
2024-01-08,Trinity Tray                  ,Point_A,2.04      
2024-01-08,Trinity Tray                  ,Point_A,2.09      
2024-01-08,Trinity Tray                  ,Point_A,2.02      
2024-01-08,Trinity Tray                  ,Point_A,2.03      
2024-01-08,Trinity Tray                  ,Point_A,2.12      
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Outer Pouch              ,Point_A,          
2024-01-08,MOPS Outer Pouch              ,Point_A,          
2024-01-08,MOPS Outer Pouch              ,Point_A,          
2024-01-09,MOPS Inner Pouch              ,Point_A,          
2024-01-09,MOPS Inner Pouch              ,Point_A,          
2024-01-09,MOPS Inner Pouch              ,Point_A,          
2024-01-09,MOPS Outer Pouch              ,Point_A,          
2024-01-09,MOPS Outer Pouch              ,Point_A,          
2024-01-09,MOPS Outer Pouch              ,Point_A,          
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Outer Pouch              ,Point_A,          
2024-01-08,MOPS Outer Pouch              ,Point_A,          
2024-01-08,MOPS Outer Pouch              ,Point_A,          
2024-01-08,Dual Outer Tray               ,Point_A,6.83      
2024-01-08,Dual Outer Tray               ,Point_A,7.01      
2024-01-08,Dual Outer Tray               ,Point_A,5.53      
2024-01-08,Lyo Jar Tray                  ,Point_A,5.76      
2024-01-08,Lyo Jar Tray                  ,Point_A,5.76      
2024-01-08,Lyo Jar Tray                  ,Point_A,6.30      
2024-01-08,Dual Outer Tray               ,Point_A,5.45      
2024-01-08,Dual Outer Tray               ,Point_A,4.32      
2024-01-08,Dual Outer Tray               ,Point_A,4.46      
2024-01-08,Lyo Jar Tray                  ,Point_A,6.58      
2024-01-08,Lyo Jar Tray                  ,Point_A,7.03      
2024-01-08,Lyo Jar Tray                  ,Point_A,6.26      
2024-01-08,Foil/Foil Pouch               ,Point_A,          
2024-01-08,Foil/Foil Pouch               ,Point_A,          
2024-01-08,Foil/Foil Pouch               ,Point_A,          
2024-01-08,"5"" Outer Tray                 ",Point_A,2.57      
